task,model,signal,metric,value
math500,vllm/g3-12i,consistency_t0.7_entropy,auroc,0.8699732620320856
math500,vllm/g3-12i,consistency_t0.7_entropy,cal_brier,0.08180296304006562
math500,vllm/g3-12i,consistency_t0.7_entropy,cal_ece,0.04259535340793688
math500,vllm/g3-12i,consistency_t0.7_entropy,raw_ece,0.0487055020481425
math500,vllm/g3-12i,consistency_t0.7_entropy,auarc,0.9591311716407497
math500,vllm/l31-8bi,constant,auroc,nan
math500,vllm/l31-8bi,constant,cal_brier,0.24822436714623933
math500,vllm/l31-8bi,constant,cal_ece,0.03405572755417937
math500,vllm/l31-8bi,constant,auarc,0.5541795665634675
math500,vllm/l31-8bi,seq_response,auroc,0.5231610800744879
math500,vllm/l31-8bi,seq_response,cal_brier,0.2481662498825435
math500,vllm/l31-8bi,seq_response,cal_ece,0.03720819643056297
math500,vllm/l31-8bi,seq_response,raw_ece,0.33804425956485434
math500,vllm/l31-8bi,seq_response,auarc,0.5595432074263853
math500,vllm/l31-8bi,seq_response_min,auroc,0.7049968963376785
math500,vllm/l31-8bi,seq_response_min,cal_brier,0.21918658526800153
math500,vllm/l31-8bi,seq_response_min,cal_ece,0.06124665473299236
math500,vllm/l31-8bi,seq_response_min,raw_ece,0.3103791612186248
math500,vllm/l31-8bi,seq_response_min,auarc,0.6797200239076139
math500,vllm/l31-8bi,seq_response_tail10,auroc,0.5638578522656735
math500,vllm/l31-8bi,seq_response_tail10,cal_brier,0.2461949100242215
math500,vllm/l31-8bi,seq_response_tail10,cal_ece,0.045253747221232425
math500,vllm/l31-8bi,seq_response_tail10,raw_ece,0.07712474631208174
math500,vllm/l31-8bi,seq_response_tail10,auarc,0.592743721412657
math500,vllm/l31-8bi,verification,auroc,0.6864525139664804
math500,vllm/l31-8bi,verification,cal_brier,0.22751371306026738
math500,vllm/l31-8bi,verification,cal_ece,0.08377746285896812
math500,vllm/l31-8bi,verification,raw_ece,0.41446823481099343
math500,vllm/l31-8bi,verification,auarc,0.7012418625572109
math500,vllm/l31-8bi,verbalized,auroc,0.7680982309124768
math500,vllm/l31-8bi,verbalized,cal_brier,0.1956618772938317
math500,vllm/l31-8bi,verbalized,cal_ece,0.06294689542044268
math500,vllm/l31-8bi,verbalized,raw_ece,0.35541795665634657
math500,vllm/l31-8bi,verbalized,auarc,0.7480088692416379
math500,vllm/l31-8bi,consistency_t0.7,auroc,0.9445996275605214
math500,vllm/l31-8bi,consistency_t0.7,cal_brier,0.08663136206445604
math500,vllm/l31-8bi,consistency_t0.7,cal_ece,0.05899457233080156
math500,vllm/l31-8bi,consistency_t0.7,raw_ece,0.09659442724458203
math500,vllm/l31-8bi,consistency_t0.7,auarc,0.8499828973466172
math500,vllm/l31-8bi,consistency_t0.7_margin,auroc,0.8291627870887648
math500,vllm/l31-8bi,consistency_t0.7_margin,cal_brier,0.16925643699672593
math500,vllm/l31-8bi,consistency_t0.7_margin,cal_ece,0.08025813198160596
math500,vllm/l31-8bi,consistency_t0.7_margin,raw_ece,0.12260061919504645
math500,vllm/l31-8bi,consistency_t0.7_margin,auarc,0.785769188990425
math500,vllm/l31-8bi,consistency_t0.7_entropy,auroc,0.8250698324022346
math500,vllm/l31-8bi,consistency_t0.7_entropy,cal_brier,0.17606859611920625
math500,vllm/l31-8bi,consistency_t0.7_entropy,cal_ece,0.10396672838303928
math500,vllm/l31-8bi,consistency_t0.7_entropy,raw_ece,0.11275464577254277
math500,vllm/l31-8bi,consistency_t0.7_entropy,auarc,0.7834856317570595
math500,vllm/phi4mii,constant,auroc,nan
math500,vllm/phi4mii,constant,cal_brier,0.22361457281978286
math500,vllm/phi4mii,constant,cal_ece,0.03314223781409557
math500,vllm/phi4mii,constant,auarc,0.6657824933687002
math500,vllm/phi4mii,seq_response,auroc,0.5985581483589452
math500,vllm/phi4mii,seq_response,cal_brier,0.22202887633433213
math500,vllm/phi4mii,seq_response,cal_ece,0.08389908272530193
math500,vllm/phi4mii,seq_response,raw_ece,0.2207399322310224
math500,vllm/phi4mii,seq_response,auarc,0.7184754190459322
math500,vllm/phi4mii,seq_response_min,auroc,0.7779042559919054
